Device ID,Build Date,Cookie Ver,Session ID,Play Mode,Language,Event ID,Time Taken,Result,Age,Session Total Time,Total Correct,Total Wrong
0UCAFW98,2015-04-02,13,WFQ4Q,play all,kn-in,3A_Number_Sense,00:00:16,Incorrect,23,00:05:56,8,7
0UCAFW98,2015-04-02,13,WFQ4Q,play all,kn-in,3B_Patterns,00:00:11,Incorrect,23,00:05:56,8,7
0UCAFW98,2015-04-02,13,WFQ4Q,play all,kn-in,3C_Add_Subtract,00:00:19,Incorrect,23,00:05:56,8,7
2BFEY8K0,2015-04-02,13,N8K6I,play all,kn-in,T_Tutorial,00:00:16,Correct,8,00:03:22,4,0
2BFEY8K0,2015-04-02,13,N8K6I,play all,kn-in,T2_Tutorial,00:01:41,Correct,8,00:03:22,4,0
2BFEY8K0,2015-04-02,13,N8K6I,play all,kn-in,1A_Premath,00:00:20,Correct,8,00:03:22,4,0
2BFEY8K0,2015-04-02,13,N8K6I,play all,kn-in,1B_Premath,00:00:25,Correct,8,00:03:22,4,0
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,T_Tutorial,00:00:12,Correct,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,T2_Tutorial,00:00:17,Correct,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,1A_Premath,00:00:22,Correct,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,1B_Premath,00:00:28,Correct,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,1C_Order_By_Size,00:00:23,Correct,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,1D_Premath,00:00:11,Correct,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,1E_Premath,00:00:22,Correct,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,2A_Length,00:00:22,Correct,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,2B_Patterns,00:00:35,Incorrect,20,00:09:57,15,10
